City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Luderitz,NA,-26.6481,15.1594,65.37,32,1,8.01,clear sky
79,Auki,SB,-8.7676,160.7034,85.17,65,75,4.47,broken clouds
80,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,59.59,44,0,6.71,clear sky
81,Leningradskiy,RU,69.3833,178.4167,37.51,60,100,9.73,overcast clouds
82,Kavaratti,IN,10.5669,72.642,83.68,72,64,17.34,broken clouds
83,Nikolskoye,RU,59.7035,30.7861,52.81,98,63,5.79,broken clouds
84,Udachnyy,RU,66.4167,112.4,61.45,54,94,12.46,overcast clouds
85,Ahipara,NZ,-35.1667,173.1667,61.79,59,78,8.46,broken clouds
86,Mlimba,TZ,-8.8,35.8167,63.82,68,45,3.6,scattered clouds
87,Valday,RU,57.9747,33.2525,46.33,97,45,6.02,scattered clouds
88,Geraldton,AU,-28.7667,114.6,46.81,87,57,5.75,broken clouds
89,Necochea,AR,-38.5473,-58.7368,44.69,63,87,12.66,overcast clouds
90,Bredasdorp,ZA,-34.5322,20.0403,50.2,90,75,4.79,broken clouds
91,Narsaq,GL,60.9167,-46.05,57.42,40,0,6.31,clear sky
92,Cape Town,ZA,-33.9258,18.4232,60.39,85,0,2.3,clear sky
93,Nanortalik,GL,60.1432,-45.2371,42.6,63,38,0.27,scattered clouds
94,Santa Maria,BR,-29.6842,-53.8069,43.9,81,0,4.61,clear sky
95,Beringovskiy,RU,63.05,179.3167,41.34,73,50,7.25,scattered clouds
96,Albany,US,42.6001,-73.9662,72.25,52,1,9.69,clear sky
97,Faya,SA,18.3851,42.4509,68.52,26,15,11.79,few clouds
98,La Ronge,CA,55.1001,-105.2842,66.42,13,20,13.8,few clouds
99,Castro,BR,-24.7911,-50.0119,52.29,87,97,9.22,overcast clouds
100,Pedernales,DO,18.0384,-71.744,80.76,78,99,7.29,overcast clouds
101,Hervey Bay,AU,-25.2986,152.8535,68.02,93,93,4.0,overcast clouds
102,Tabou,CI,4.423,-7.3528,77.7,87,81,5.88,moderate rain
103,Xining,CN,36.6167,101.7667,52.21,76,85,3.29,overcast clouds
104,Bethel,US,41.3712,-73.414,75.04,67,85,4.0,overcast clouds
105,Aklavik,CA,68.2191,-135.0107,33.8,69,75,13.8,broken clouds
106,Bambous Virieux,MU,-20.3428,57.7575,73.65,78,40,11.5,light rain
107,Barrie,CA,44.4001,-79.6663,65.71,63,44,5.75,scattered clouds
108,College,US,64.8569,-147.8028,78.22,23,75,5.75,broken clouds
109,Dokka,NO,60.84,10.0618,49.69,83,87,3.2,overcast clouds
110,Remanso,BR,-9.6179,-42.0831,80.31,57,100,7.16,overcast clouds
111,Deputatskiy,RU,69.3,139.9,50.99,80,72,4.29,broken clouds
112,Tanout,NE,14.9709,8.8879,84.99,11,14,6.55,few clouds
113,Arraial Do Cabo,BR,-22.9661,-42.0278,70.36,83,74,17.02,broken clouds
114,Cravo Norte,CO,6.3017,-70.2041,72.5,97,100,4.5,overcast clouds
115,Port Macquarie,AU,-31.4333,152.9167,59.9,78,64,7.81,broken clouds
116,Casper,US,42.8666,-106.3131,73.72,37,0,5.75,clear sky
117,Ilulissat,GL,69.2167,-51.1,37.29,61,96,4.59,overcast clouds
118,Kapaa,US,22.0752,-159.319,82.47,69,0,12.66,clear sky
119,Linxia,CN,35.6003,103.2064,56.44,67,89,0.54,overcast clouds
120,Youkounkoun,GN,12.5333,-13.1333,80.53,64,65,7.4,broken clouds
121,Azangaro,PE,-14.9167,-70.2167,42.87,82,77,4.85,broken clouds
122,Byron Bay,AU,-28.65,153.6167,65.95,70,47,13.94,scattered clouds
123,Viedma,AR,-40.8135,-62.9967,49.24,58,100,18.92,moderate rain
124,East London,ZA,-33.0153,27.9116,63.99,31,34,6.76,scattered clouds
125,Qaanaaq,GL,77.484,-69.3632,26.62,80,98,3.65,overcast clouds
126,Dingle,PH,10.9995,122.6711,83.08,75,40,3.09,scattered clouds
127,Korosladany,HU,46.9667,21.0833,66.97,65,86,5.39,overcast clouds
128,Tucurui,BR,-3.7661,-49.6725,73.62,96,96,2.13,overcast clouds
129,Panaba,MX,21.2833,-88.2667,80.37,76,41,11.07,scattered clouds
130,Mahibadhoo,MV,3.7833,72.9667,82.65,76,100,17.36,overcast clouds
131,Safaga,EG,26.7292,33.9365,85.12,35,84,11.79,broken clouds
132,Nanakuli,US,21.3906,-158.1547,83.1,57,40,11.5,scattered clouds
133,Fort Nelson,CA,58.8053,-122.7002,76.59,22,75,5.75,broken clouds
134,Preobrazheniye,RU,42.9019,133.9064,51.15,75,100,7.92,overcast clouds
135,Amahai,ID,-3.3333,128.9167,81.93,77,99,2.15,overcast clouds
136,Nador,MA,35.174,-2.9287,71.85,49,0,9.22,clear sky
137,Mackenzie,CA,55.2999,-123.1698,68.22,37,20,11.5,few clouds
138,Upernavik,GL,72.7868,-56.1549,31.89,90,89,5.1,overcast clouds
139,Zyryanovsk,KZ,49.7386,84.2719,50.29,71,54,1.41,broken clouds
140,Pangai,TO,-19.8,-174.35,82.51,78,20,9.22,few clouds
141,Camacha,PT,33.0833,-16.3333,62.02,77,40,11.5,scattered clouds
142,Bamiantong,CN,44.9333,130.5333,58.17,73,99,7.87,overcast clouds
143,Avarua,CK,-21.2078,-159.775,80.65,61,20,16.11,few clouds
144,Pancol,PH,10.8715,119.4157,82.98,76,5,1.74,clear sky
145,Chuy,UY,-33.6971,-53.4616,47.73,87,10,5.84,clear sky
146,Yayva,RU,59.3303,57.2641,46.18,56,0,7.38,clear sky
147,Torbay,CA,47.6666,-52.7314,46.27,89,100,19.57,overcast clouds
148,Ishigaki,JP,24.3448,124.1572,86.13,89,40,11.5,scattered clouds
149,Provideniya,RU,64.3833,-173.3,52.16,57,100,5.84,overcast clouds
150,Sept-Iles,CA,50.2001,-66.3821,54.12,71,75,6.91,broken clouds
151,Grants,US,35.1473,-107.8514,82.63,6,0,11.5,clear sky
152,Ixtapa,MX,20.7,-105.2,78.22,73,7,3.0,clear sky
153,Tautira,PF,-17.7333,-149.15,76.26,83,100,17.54,light rain
154,Daru,PG,-9.0763,143.2092,81.3,84,97,12.66,overcast clouds
155,Fare,PF,-16.7,-151.0167,79.52,74,86,17.0,light rain
156,Avera,US,33.194,-82.5271,83.71,56,59,3.8,broken clouds
157,Ganzhou,CN,28.8184,115.4327,76.62,96,100,4.29,overcast clouds
158,Pevek,RU,69.7008,170.3133,30.18,89,100,14.76,light snow
159,Dicabisagan,PH,17.0818,122.4157,84.43,74,77,6.11,broken clouds
160,Grand Gaube,MU,-20.0064,57.6608,73.8,82,61,7.0,moderate rain
161,Bandar,ID,2.05,99.75,73.45,84,100,1.52,overcast clouds
162,Emerald,AU,-23.5333,148.1667,66.34,88,100,9.22,overcast clouds
163,Creel,MX,27.75,-107.6333,55.47,83,92,15.1,overcast clouds
164,Carauari,BR,-4.8828,-66.8958,74.57,98,91,2.3,overcast clouds
165,Flagstaff,US,35.1981,-111.6513,78.46,17,0,18.41,clear sky
166,Kashi,CN,39.4547,75.9797,69.01,24,20,15.66,few clouds
167,Iqaluit,CA,63.7506,-68.5145,42.53,56,20,4.61,few clouds
168,Talnakh,RU,69.4865,88.3972,33.21,61,100,10.74,overcast clouds
169,Melbu,NO,68.5044,14.8297,49.82,93,100,13.8,overcast clouds
170,Ancud,CL,-41.8697,-73.8203,46.65,91,100,13.31,light rain
