City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kushmurun,KZ,2022-05-31 16:53:37,52.4503,64.6311,53.53,77,39,9.24
68,Vestmannaeyjar,IS,2022-05-31 16:53:38,63.4427,-20.2734,49.19,93,100,20.71
69,Praia Da Vitoria,PT,2022-05-31 16:53:38,38.7333,-27.0667,63.75,82,40,23.13
70,Leh,IN,2022-05-31 16:53:38,34.1667,77.5833,52.7,31,8,6.51
71,Tiksi,RU,2022-05-31 16:53:39,71.6872,128.8694,29.77,98,100,6.91
72,Ancud,CL,2022-05-31 16:53:39,-41.8697,-73.8203,45.68,71,4,3.36
73,Haines Junction,CA,2022-05-31 16:53:39,60.7522,-137.5108,49.95,53,13,1.14
74,Qaanaaq,GL,2022-05-31 16:53:40,77.484,-69.3632,25.16,61,10,3.42
75,Nuuk,GL,2022-05-31 16:53:08,64.1835,-51.7216,43.68,53,22,12.77
76,New Norfolk,AU,2022-05-31 16:53:40,-42.7826,147.0587,47.7,83,100,3.27
77,Napanee,CA,2022-05-31 16:51:55,44.2501,-76.9494,87.58,60,96,7.85
78,Anamur,TR,2022-05-31 16:53:41,36.0751,32.8369,77.25,64,0,12.33
79,Kapaa,US,2022-05-31 16:53:41,22.0752,-159.319,71.11,96,15,8.37
80,Hobart,AU,2022-05-31 16:53:41,-42.8794,147.3294,48.06,91,75,11.5
81,Ocampo,MX,2022-05-31 16:53:42,21.65,-101.5,75.96,20,8,5.59
82,Freeport,US,2022-05-31 16:53:42,40.6576,-73.5832,94.98,44,58,3.0
83,Galle,LK,2022-05-31 16:53:42,6.0367,80.217,78.26,87,100,18.43
84,Beidao,CN,2022-05-31 16:53:43,34.5686,105.8933,59.77,92,68,3.69
85,Torrington,US,2022-05-31 16:53:43,41.8007,-73.1212,90.86,50,33,7.0
86,Boguchany,RU,2022-05-31 16:53:43,58.3814,97.4531,44.29,74,17,4.05
87,Nueva Concepcion,GT,2022-05-31 16:53:43,14.2,-91.3,81.97,73,100,2.75
88,Cape Town,ZA,2022-05-31 16:51:31,-33.9258,18.4232,58.91,78,20,4.61
89,Kaitangata,NZ,2022-05-31 16:53:44,-46.2817,169.8464,52.02,82,100,7.02
90,Aklavik,CA,2022-05-31 16:53:44,68.2191,-135.0107,33.8,93,100,11.5
91,Siuri,IN,2022-05-31 16:53:45,23.9167,87.5333,79.02,54,48,12.12
92,Mineral Wells,US,2022-05-31 16:53:45,32.8085,-98.1128,88.27,43,20,19.53
93,Kitimat,CA,2022-05-31 16:53:45,54.0524,-128.6534,61.92,61,59,0.89
94,Hauge,NO,2022-05-31 16:53:45,58.3436,6.2812,52.7,76,99,9.98
95,Emilio Carranza,MX,2022-05-31 16:54:46,19.9711,-96.6114,87.93,56,97,9.1
96,Roebourne,AU,2022-05-31 16:54:46,-20.7833,117.1333,60.87,81,98,15.97
97,Tuatapere,NZ,2022-05-31 16:54:46,-46.1333,167.6833,50.38,91,93,6.71
98,Mayumba,GA,2022-05-31 16:54:47,-3.432,10.6554,74.57,91,41,5.93
99,Homer,US,2022-05-31 16:54:47,59.6425,-151.5483,62.04,93,100,6.91
100,Hun,LY,2022-05-31 16:54:47,29.1268,15.9477,96.46,12,100,8.81
101,Cidreira,BR,2022-05-31 16:54:48,-30.1811,-50.2056,53.85,61,98,9.93
102,Grindavik,IS,2022-05-31 16:54:48,63.8424,-22.4338,49.95,100,100,9.22
103,Muros,ES,2022-05-31 16:54:48,42.7762,-9.0603,66.09,87,100,7.0
104,Saskylakh,RU,2022-05-31 16:54:49,71.9167,114.0833,12.09,100,77,3.42
105,Upernavik,GL,2022-05-31 16:54:49,72.7868,-56.1549,25.75,80,7,10.89
106,Lebu,CL,2022-05-31 16:54:49,-37.6167,-73.65,47.75,62,7,8.84
107,Korla,CN,2022-05-31 16:54:50,41.7597,86.1469,79.05,28,94,19.17
108,Ontario,US,2022-05-31 16:52:26,34.0633,-117.6509,75.69,64,0,4.61
109,Eltham,NZ,2022-05-31 16:54:50,-39.4292,174.3,61.95,93,80,9.19
110,Naze,JP,2022-05-31 16:54:50,28.3667,129.4833,68.92,95,100,3.31
111,Were Ilu,ET,2022-05-31 16:54:51,10.6,39.4333,61.68,40,89,6.71
112,Camana,PE,2022-05-31 16:54:51,-16.6228,-72.7111,65.7,74,100,6.46
113,Saint-Philippe,RE,2022-05-31 16:54:52,-21.3585,55.7679,69.39,73,47,14.5
114,Santa Marta,CO,2022-05-31 16:54:52,11.2408,-74.199,91.45,58,20,6.91
115,Koslan,RU,2022-05-31 16:54:52,63.4564,48.8989,62.56,41,13,3.06
116,Misratah,LY,2022-05-31 16:54:53,32.3754,15.0925,80.71,47,8,19.55
117,Barbastro,ES,2022-05-31 16:54:53,42.0356,0.1269,86.54,22,3,6.76
118,Cochrane,CA,2022-05-31 16:51:41,51.1834,-114.4687,57.52,38,40,3.44
119,Mound,US,2022-05-31 16:54:53,44.9366,-93.6661,71.62,76,60,15.99
120,Port Elizabeth,ZA,2022-05-31 16:54:54,-33.918,25.5701,60.31,68,0,18.41
121,Celestun,MX,2022-05-31 16:54:54,20.8667,-90.4,81.03,71,100,14.2
122,Huangcun,CN,2022-05-31 16:54:54,30.0145,118.4037,69.64,98,95,2.71
123,Nishihara,JP,2022-05-31 16:54:55,26.1842,127.7558,77.05,97,75,8.05
124,Castro,BR,2022-05-31 16:54:55,-24.7911,-50.0119,56.03,97,100,8.08
125,Arraial Do Cabo,BR,2022-05-31 16:54:55,-22.9661,-42.0278,76.96,83,40,11.5
126,Souillac,MU,2022-05-31 16:54:56,-20.5167,57.5167,73.78,64,75,11.5
127,Clyde River,CA,2022-05-31 16:54:56,70.4692,-68.5914,26.83,80,20,3.44
128,Hithadhoo,MV,2022-05-31 16:54:56,-0.6,73.0833,83.79,69,78,10.33
129,Poum,NC,2022-05-31 16:54:57,-20.2333,164.0167,78.69,80,98,4.52
130,San Juan,AR,2022-05-31 16:54:02,-31.5375,-68.5364,51.82,37,15,5.17
131,Dunedin,NZ,2022-05-31 16:54:57,-45.8742,170.5036,54.81,71,100,4.0
132,Iqaluit,CA,2022-05-31 16:54:57,63.7506,-68.5145,37.13,81,40,3.44
133,Hamilton,US,2022-05-31 16:53:19,39.1834,-84.5333,88.74,57,1,4.0
134,Kedungwuni,ID,2022-05-31 16:54:58,-6.9704,109.6479,77.47,86,83,3.11
135,Coquimbo,CL,2022-05-31 16:54:58,-29.9533,-71.3436,55.13,82,100,4.61
136,Georgetown,MY,2022-05-31 16:50:26,5.4112,100.3354,80.53,94,40,5.99
137,San Juan Del Sur,NI,2022-05-31 16:54:59,11.2529,-85.8705,86.22,70,40,4.61
138,Lahad Datu,MY,2022-05-31 16:54:59,5.0268,118.327,77.59,89,82,3.91
139,Camabatela,AO,2022-05-31 16:54:59,-8.1881,15.375,69.31,45,0,5.01
140,Cherskiy,RU,2022-05-31 16:56:00,68.75,161.3,51.6,56,94,7.23
141,Olinda,BR,2022-05-31 16:52:14,-8.0089,-34.8553,82.13,78,75,6.91
142,Nikolskoye,RU,2022-05-31 16:56:00,59.7035,30.7861,61.79,59,100,5.26
143,Oksfjord,NO,2022-05-31 16:56:00,70.2396,22.3479,59.07,43,5,7.58
144,Berlevag,NO,2022-05-31 16:56:01,70.8578,29.0864,49.8,71,40,14.97
145,Bambous Virieux,MU,2022-05-31 16:56:01,-20.3428,57.7575,74.21,64,75,11.5
146,Bengkulu,ID,2022-05-31 16:56:01,-3.8004,102.2655,75.87,91,100,4.18
147,Bethel,US,2022-05-31 16:56:02,41.3712,-73.414,92.17,54,51,1.99
148,Labuan,MY,2022-05-31 16:56:02,5.2767,115.2417,82.76,83,20,1.14
149,Port Moresby,PG,2022-05-31 16:56:02,-9.4431,147.1797,74.62,100,40,4.61
150,Dikson,RU,2022-05-31 16:56:03,73.5069,80.5464,30.4,94,100,18.79
151,Corning,US,2022-05-31 16:56:03,42.1428,-77.0547,88.57,51,67,8.93
152,Tocopilla,CL,2022-05-31 16:56:03,-22.092,-70.1979,64.31,63,91,5.28
153,Chililabombwe,ZM,2022-05-31 16:56:04,-12.3648,27.8229,60.57,55,8,5.03
154,Ponta Do Sol,PT,2022-05-31 16:56:04,32.6667,-17.1,70.43,80,35,14.56
155,Namatanai,PG,2022-05-31 16:56:04,-3.6667,152.4333,79.07,80,28,4.38
156,Samarai,PG,2022-05-31 16:56:05,-10.6167,150.6667,79.86,82,39,6.8
157,Alice Springs,AU,2022-05-31 16:56:05,-23.7,133.8833,53.15,66,100,0.0
158,Bingol,TR,2022-05-31 16:56:05,38.8847,40.4939,69.33,53,10,6.55
159,Port Blair,IN,2022-05-31 16:56:06,11.6667,92.75,82.44,89,40,5.75
160,Chuy,UY,2022-05-31 16:56:06,-33.6971,-53.4616,52.39,42,7,7.27
161,Hewitt,US,2022-05-31 16:54:12,31.4624,-97.1958,87.89,65,20,16.11
162,Harnosand,SE,2022-05-31 16:56:07,62.6323,17.9379,55.42,93,100,16.75
163,Shache,CN,2022-05-31 16:56:07,38.4167,77.2406,72.75,13,97,6.31
