City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
595,Jerome,US,78.67,broken clouds,42.7241,-114.5186,Best Western Sawtooth Inn & Suites
597,Palmares,BR,72.0,overcast clouds,-8.6833,-35.5917,Destak Hotel Residence
598,Tura,IN,72.99,moderate rain,25.5198,90.2201,Hotel RIKMAN Continental
599,Alyangula,AU,82.06,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
600,Faanui,PF,78.55,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
601,Morehead,US,76.75,clear sky,37.2711,-87.1764,CCI Express Inn
602,Mopti,ML,91.85,broken clouds,14.6667,-4.0,
604,Asyut,EG,82.33,few clouds,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
605,Forli,IT,71.64,overcast clouds,44.2236,12.0528,Hotel Paradise Airport
607,Zaranj,AF,82.22,clear sky,30.9667,61.8833,کارگاه بلوک زنی سرهنگ
609,Zlitan,LY,71.83,clear sky,32.4674,14.5687,القسم الداخلي للجامعة الأسمرية
610,Half Moon Bay,US,75.9,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
614,Harper,LR,77.86,light rain,4.375,-7.7169,Screensaver
616,Pokhara,NP,71.31,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
617,Mitsamiouli,KM,79.25,broken clouds,-11.3847,43.2844,Foyer ADM
618,Santa Isabel Do Rio Negro,BR,74.16,broken clouds,-0.4139,-65.0192,Hotel GSA
619,Hailey,US,72.81,broken clouds,43.5196,-114.3153,Wood River Inn & Suites
620,Hampton,US,77.09,overcast clouds,37.0299,-76.3452,Embassy Suites by Hilton Hampton Convention Center
621,Antalaha,MG,70.09,light rain,-14.9003,50.2788,Hotel Vitasoa
622,Kuryk,KZ,74.7,broken clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
624,Akyab,MM,81.0,overcast clouds,20.15,92.9,Hotel Memory
625,Zhob,PK,69.87,clear sky,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
626,Vikramasingapuram,IN,78.03,broken clouds,8.714,77.3893,Papanasam Lodge (Raja Lodge & Tourist Home)
627,Amapa,BR,72.28,overcast clouds,1.0,-52.0,
628,Macheng,CN,78.1,overcast clouds,31.1783,115.0319,Shell Macheng City Macheng Bus Station Hotel
629,Lashio,MM,69.31,overcast clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
631,Tual,ID,83.68,broken clouds,-5.6667,132.75,Grand Vilia Hotel
636,San Francisco,US,75.47,overcast clouds,37.7749,-122.4194,Edwardian Hotel
637,Lamar,US,78.98,clear sky,33.6668,-95.5836,Kings Inn Paris TX
641,Tongliao,CN,69.78,moderate rain,43.6125,122.2653,Meirujia Hotel
642,General Cepeda,MX,75.07,broken clouds,25.3833,-101.45,Hacienda Los Jose
643,Kidal,ML,91.85,few clouds,18.4411,1.4078,
645,Praya,CV,73.04,scattered clouds,14.9215,-23.5087,LT Aparthotel
646,Thanh Hoa,VN,84.29,overcast clouds,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
648,Mecca,SA,89.55,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
